City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,Uyemskiy,3.4836,34.1492,294.54,44,53,4.17,UG,2022-03-11 01:21:45
197,Uyemskiy,54.4333,113.6,257.28,80,5,0.84,RU,2022-03-11 01:21:46
198,Uyemskiy,4.9333,-52.3333,300.42,56,75,1.79,GF,2022-03-11 01:21:47
199,Uyemskiy,56.1667,91.8167,250.38,99,100,1.25,RU,2022-03-11 01:21:47
200,Uyemskiy,67.6803,53.1512,261.47,92,100,8.76,RU,2022-03-11 01:21:48
201,Uyemskiy,47.3821,-61.8597,273.18,69,0,7.72,CA,2022-03-11 01:21:48
202,Uyemskiy,-9.8317,-45.3439,296.17,86,80,0.46,BR,2022-03-11 01:21:49
203,Uyemskiy,4.1363,96.1285,297.9,89,100,2.09,ID,2022-03-11 01:21:49
204,Uyemskiy,-0.9131,122.8766,300.79,76,27,0.95,ID,2022-03-11 01:21:50
205,Uyemskiy,31.7561,25.0865,283.9,56,7,9.35,LY,2022-03-11 01:21:50
206,Uyemskiy,12.6664,100.9007,301.2,83,20,1.03,TH,2022-03-11 01:21:51
207,Uyemskiy,28.4769,-16.4102,286.35,77,100,7.72,ES,2022-03-11 01:21:52
208,Uyemskiy,-13.9652,28.6809,289.63,98,31,1.82,ZM,2022-03-11 01:21:52
209,Uyemskiy,4.375,-7.7169,299.99,89,73,3.51,LR,2022-03-11 01:21:53
210,Uyemskiy,41.2192,31.9558,272.44,97,100,1.63,TR,2022-03-11 01:21:53
211,Uyemskiy,28.7079,80.5961,289.05,49,1,1.55,NP,2022-03-11 01:21:54
212,Uyemskiy,73.5069,80.5464,247.28,97,70,7.81,RU,2022-03-11 01:21:54
213,Uyemskiy,64.3833,-173.3,267.24,68,0,18.0,RU,2022-03-11 01:21:55
214,Uyemskiy,9.1769,105.15,300.2,67,48,2.7,VN,2022-03-11 01:21:56
215,Uyemskiy,45.1667,10.7833,279.73,75,73,3.58,IT,2022-03-11 01:21:57
216,Uyemskiy,33.1284,-107.2528,289.28,16,0,8.23,US,2022-03-11 01:21:57
217,Uyemskiy,-37.8333,140.7667,291.74,48,80,2.72,AU,2022-03-11 01:21:58
218,Uyemskiy,18.3851,42.4509,290.44,67,100,1.94,SA,2022-03-11 01:21:58
219,Uyemskiy,49.6213,37.7036,264.01,93,99,6.73,UA,2022-03-11 01:21:59
220,Uyemskiy,34.9833,139.8667,287.14,54,4,4.22,JP,2022-03-11 01:21:59
221,Uyemskiy,18.0264,-77.8487,298.32,78,2,3.16,JM,2022-03-11 01:22:00
222,Uyemskiy,33.194,-82.5271,284.88,86,100,4.2,US,2022-03-11 01:22:00
223,Uyemskiy,-17.7333,-149.15,300.54,70,24,4.53,PF,2022-03-11 01:22:01
