City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
432,Soyo,AO,299.48,broken clouds,-6.1349,12.3689,Hotel Mpampa
436,Edd,ER,299.96,scattered clouds,13.9297,41.6925,
438,Eyl,SO,297.44,clear sky,7.9803,49.8164,Amiin Hotel
442,Humberto de Campos,BR,297.54,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
443,Auki,SB,301.34,overcast clouds,-8.7676,160.7034,Auki Motel
444,Antalaha,MG,298.21,light rain,-14.9003,50.2788,Hotel Vitasoa
450,Vanimo,PG,300.36,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
454,Belmonte,BR,298.32,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
457,Tautira,PF,300.58,clear sky,-17.7333,-149.15,Pension Oaoa
458,Bathsheba,BB,299.49,scattered clouds,13.2167,-59.5167,Atlantis Hotel
459,Sur,OM,297.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
461,Teahupoo,PF,301.13,clear sky,-17.8333,-149.2667,Vanira Lodge
462,Itarema,BR,299.16,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
464,Kudahuvadhoo,MV,301.4,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
465,Acapulco de Juárez,MX,300.05,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
467,Maroantsetra,MG,298.2,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
469,Acaraú,BR,299.26,few clouds,-2.8856,-40.12,castelo pizzaria
474,Santiago de Cuba,CU,300.21,few clouds,20.0247,-75.8219,Cubanacan San Felix
475,Bartica,GY,299.33,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
