City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
315,Béboto,8.2668,16.939,297.8,15,29,1.33,TD,2022-03-18 23:02:35,scattered clouds
316,Tabatinga,-4.2525,-69.9381,300.15,83,40,1.03,BR,2022-03-18 23:02:35,light rain
317,Barzas,55.7167,86.3167,255.2,100,99,1.06,RU,2022-03-18 23:03:36,overcast clouds
318,Kuusamo,65.9667,29.1833,271.17,93,0,3.6,FI,2022-03-18 23:03:36,clear sky
319,Den Helder,52.9599,4.7593,280.38,87,5,6.26,NL,2022-03-18 23:01:34,clear sky
320,Grand Gaube,-20.0064,57.6608,298.92,90,76,1.81,MU,2022-03-18 23:03:37,broken clouds
321,Puerto Escondido,15.85,-97.0667,303.61,70,0,4.12,MX,2022-03-18 23:03:38,clear sky
322,Eilat,29.5581,34.9482,287.51,63,0,4.06,IL,2022-03-18 23:03:38,clear sky
323,Nogliki,51.8333,143.1667,270.69,95,100,3.69,RU,2022-03-18 23:03:39,light snow
324,La Ronge,55.1001,-105.2842,275.19,90,93,2.65,CA,2022-03-18 23:03:24,overcast clouds
325,Sarangani,5.4033,125.4636,301.54,78,90,6.7,PH,2022-03-18 23:03:40,overcast clouds
326,Tazovsky,67.4667,78.7,270.58,96,100,7.46,RU,2022-03-18 23:03:40,light snow
327,Ulladulla,-35.35,150.4667,291.65,83,100,5.45,AU,2022-03-18 23:03:41,overcast clouds
328,Kirakira,-10.4544,161.9205,301.41,75,100,2.6,SB,2022-03-18 23:03:42,overcast clouds
329,Finote Selam,10.7,37.2667,293.35,51,100,0.54,ET,2022-03-18 23:03:43,overcast clouds
330,Naantali,60.4674,22.0243,275.06,100,100,2.06,FI,2022-03-18 23:03:43,mist
331,Mount Gambier,-37.8333,140.7667,288.92,74,3,2.91,AU,2022-03-18 23:03:44,clear sky
332,Horn,51.8715,8.9451,280.0,82,2,2.31,DE,2022-03-18 23:03:44,clear sky
333,Srednekolymsk,67.45,153.6833,250.82,95,65,0.46,RU,2022-03-18 23:03:45,broken clouds
334,Banda Aceh,5.5577,95.3222,299.18,83,100,6.13,ID,2022-03-18 22:59:18,light rain
335,Churapcha,62.0025,132.4325,255.67,92,99,1.34,RU,2022-03-18 23:03:46,overcast clouds
336,Pangnirtung,66.1451,-65.7125,241.86,96,80,2.45,CA,2022-03-18 23:03:46,broken clouds
337,Port Elizabeth,-33.918,25.5701,293.32,98,75,5.14,ZA,2022-03-18 23:00:15,broken clouds
338,Bethanien,-26.502,17.1583,294.89,64,83,7.0,NA,2022-03-18 23:03:47,broken clouds
339,Gamba,-2.65,10.0,298.74,90,99,3.92,GA,2022-03-18 23:03:48,light rain
340,Abadan,38.0507,58.2056,277.76,60,54,3.46,TM,2022-03-18 23:03:48,broken clouds
341,Dongsheng,39.8161,109.9776,267.39,54,100,4.58,CN,2022-03-18 23:03:49,overcast clouds
342,Vila Velha,-20.3297,-40.2925,299.23,85,4,3.41,BR,2022-03-18 23:03:49,clear sky
343,Arrondissement de Saint-Denis,48.9167,2.3333,283.92,51,0,7.72,FR,2022-03-18 23:03:50,clear sky
344,Kumul,42.8,93.45,280.64,35,95,4.73,CN,2022-03-18 23:03:50,overcast clouds
345,Hoquiam,46.9809,-123.8893,284.18,88,100,3.09,US,2022-03-18 23:02:57,overcast clouds
